"","numepoch","mean_error"
"1",100,0.12356078374177
"2",400,0.13387058178362
"3",700,0.114936706487565
"4",1000,0.104107338731181
"5",1300,0.106598925517741
"6",1600,0.0974094302631979
"7",1900,0.0911810595263052
"8",2200,0.0771337165856895
"9",2500,0.0784088153079367
"10",2800,0.0553384888544412
"11",3100,0.0776036383749768
"12",3400,0.0485350698900756
"13",3700,0.0535525996894388
"14",4000,0.0667129821135371
"15",4300,0.0692405631170722
"16",4600,0.047651986836554
"17",4900,0.0634370912355598
"18",5200,0.0641851075293228
