종목,티커,GICS 섹터
애플,AAPL UW Equity,Information Technology
알파벳(Class A),GOOGL UW Equity,Information Technology
알파벳(Class C),GOOG UW Equity,Information Technology
마이크로소프트,MSFT UW Equity,Information Technology
버크셔 해서웨이,BRK/B US Equity,Financials
아마존 닷컴,AMZN UW Equity,Consumer Discretionary
페이스북,FB UW Equity,Information Technology
존슨앤드존슨,JNJ UN Equity,Health Care
엑슨 모빌,XOM UN Equity,Energy
제이피모간체이스,JPM UN Equity,Financials
웰스파고,WFC UN Equity,Financials
GE,GE UN Equity,Industrials
AT&T,T UN Equity,Telecommunication Services
뱅크오브아메리카,BAC UN Equity,Financials
P&G,PG UN Equity,Consumer Staples
월마트,WMT UN Equity,Consumer Staples
셰브론,CVX UN Equity,Energy
비자,V UN Equity,Information Technology
화이자,PFE UN Equity,Health Care
버라이존 커뮤니케이션스,VZ UN Equity,Telecommunication Services
머크,MRK UN Equity,Health Care
코카콜라,KO UN Equity,Consumer Staples
홈디포,HD UN Equity,Consumer Discretionary
컴캐스트,CMCSA UW Equity,Consumer Discretionary
월트 디즈니,DIS UN Equity,Consumer Discretionary
오라클,ORCL UN Equity,Information Technology
시스코 시스템즈,CSCO UW Equity,Information Technology
필립 모리스 인터내셔널,PM UN Equity,Consumer Staples
씨티그룹,C UN Equity,Financials
IBM,IBM UN Equity,Information Technology
인텔,INTC UW Equity,Information Technology
유나이티드헬스 그룹,UNH UN Equity,Health Care
펩시코,PEP UN Equity,Consumer Staples
알트리아그룹,MO UN Equity,Consumer Staples
암젠,AMGN UW Equity,Health Care
마스타카드,MA UN Equity,Information Technology
쓰리엠,MMM UN Equity,Industrials
메드트로닉,MDT UN Equity,Health Care
보잉,BA UN Equity,Industrials
크래프트 하인즈,KHC UW Equity,Consumer Staples
슐럼버거,SLB UN Equity,Energy
맥도날드,MCD UN Equity,Consumer Discretionary
골드만 삭스,GS UN Equity,Financials
애브비,ABBV UN Equity,Health Care
Charter Communications Inc,CHTR UW Equity,Consumer Discretionary
허니웰 인터내셔널,HON UN Equity,Industrials
세엘진,CELG UW Equity,Health Care
브리스톨-마이어스 스큅,BMY UN Equity,Health Care
나이키,NKE UN Equity,Consumer Discretionary
U.S. 뱅코프,USB UN Equity,Financials
일라이 릴리,LLY UN Equity,Health Care
UPS,UPS UN Equity,Industrials
월그린스 부츠 얼라이언스,WBA UW Equity,Consumer Staples
길리어드 사이언스,GILD UW Equity,Health Care
유나이티드 테크놀로지스,UTX UN Equity,Industrials
브로드컴,AVGO UW Equity,Information Technology
유니온 퍼시픽,UNP UN Equity,Industrials
모간스탠리,MS UN Equity,Financials
레이놀즈 아메리칸,RAI UN Equity,Consumer Staples
프라이스라인 그룹,PCLN UW Equity,Consumer Discretionary
퀄컴,QCOM UW Equity,Information Technology
CVS 헬스,CVS UN Equity,Consumer Staples
스타벅스,SBUX UW Equity,Consumer Discretionary
액센추어,ACN UN Equity,Information Technology
엘러간,AGN UN Equity,Health Care
텍사스 인스트루먼트,TXN UW Equity,Information Technology
애보트 래버러토리,ABT UN Equity,Health Care
록히드 마틴,LMT UN Equity,Industrials
다우 케미컬,DOW UN Equity,Materials
타임워너,TWX UN Equity,Consumer Discretionary
코스트코 홀세일,COST UW Equity,Consumer Staples
아메리칸 엑스프레스,AXP UN Equity,Financials
로우스,LOW UN Equity,Consumer Discretionary
듀폰,DD UN Equity,Materials
몬덜리즈 인터내셔널,MDLZ UW Equity,Consumer Staples
콜게이트-팜올리브,CL UN Equity,Consumer Staples
처브,CB UN Equity,Financials
바이오젠,BIIB UW Equity,Health Care
블랙록,BLK UN Equity,Financials
아메리칸 인터내셔널 그룹,AIG UN Equity,Financials
PNC 파이낸셜 서비스,PNC UN Equity,Financials
써모 피셔 사이언티픽,TMO UN Equity,Health Care
넥스트에라 에너지,NEE UN Equity,Utilities
넷플릭스,NFLX UW Equity,Consumer Discretionary
다나허,DHR UN Equity,Health Care
어도비 시스템즈,ADBE UW Equity,Information Technology
세일즈포스닷컴,CRM UN Equity,Information Technology
메트라이프,MET UN Equity,Financials
엔비디아,NVDA UW Equity,Information Technology
제너럴 다이내믹스,GD UN Equity,Industrials
코노코필립스,COP UN Equity,Energy
듀크 에너지,DUK UN Equity,Utilities
찰스 슈왑,SCHW UN Equity,Financials
뉴스 코퍼레이션,FOXA UW Equity,Consumer Discretionary
뉴스 코퍼레이션,FOX UW Equity,Consumer Discretionary
사이먼 프로퍼티 그룹,SPG UN Equity,Real Estate
제너럴 모터스,GM UN Equity,Consumer Discretionary
EOG 리소시스,EOG UN Equity,Energy
캐터필러,CAT UN Equity,Industrials
페이팔 홀딩스,PYPL UW Equity,Information Technology
페덱스,FDX UN Equity,Industrials
TJX 컴퍼니스,TJX UN Equity,Consumer Discretionary
몬산토,MON UN Equity,Materials
뉴욕멜론은행,BK UN Equity,Financials
포드 모터 컴퍼니,F UN Equity,Consumer Discretionary
서던 컴퍼니,SO UN Equity,Utilities
아메리칸 타워,AMT UN Equity,Real Estate
스트라이커,SYK UN Equity,Health Care
푸르덴셜 파이낸셜,PRU UN Equity,Financials
킨더 모건,KMI UN Equity,Energy
옥시덴털 페트롤리움,OXY UN Equity,Energy
도미니언 리소시스,D UN Equity,Utilities
킴벌리클라크,KMB UN Equity,Consumer Staples
오토매틱 데이터 프로세싱,ADP UW Equity,Information Technology
일리노이 툴 웍스,ITW UN Equity,Industrials
애트나,AET UN Equity,Health Care
레이티온,RTN UN Equity,Industrials
할리버튼,HAL UN Equity,Energy
캐피털 원 파이낸셜,COF UN Equity,Financials
CSX,CSX UW Equity,Industrials
